Nicosia,35.1725,33.3650,Cyprus,CY,Lefkosía,primary,330000,330000
Limassol,34.6750,33.0443,Cyprus,CY,Lemesós,admin,235056,235056
Larnaca,34.9233,33.6305,Cyprus,CY,Lárnaka,admin,48947,48947
Famagusta,35.1167,33.9500,Cyprus,CY,Ammóchostos,admin,40920,40920
Paphos,34.7761,32.4265,Cyprus,CY,Páfos,admin,35961,35961
Kyrenia,35.3403,33.3192,Cyprus,CY,Kerýneia,admin,33207,33207
Káto Polemídia,34.6931,32.9992,Cyprus,CY,Lemesós,,22369,22369
Aradíppou,34.9478,33.5881,Cyprus,CY,Lárnaka,,19199,19199
Latsia,35.0968,33.3773,Cyprus,CY,Lefkosía,,16774,16774
Paralímni,35.0387,33.9862,Cyprus,CY,Ammóchostos,,14963,14963
Ágios Athanásios,34.7087,33.0504,Cyprus,CY,Lemesós,,14578,14578
Mésa Geitoniá,34.7024,33.0453,Cyprus,CY,Lemesós,,14477,14477
Germasógeia,34.7181,33.0856,Cyprus,CY,Lemesós,,13421,13421
Dáli,35.0240,33.4226,Cyprus,CY,Lefkosía,,10466,10466
Géri,35.1062,33.4195,Cyprus,CY,Lefkosía,,8235,8235
Geroskípou,34.7609,32.4484,Cyprus,CY,Páfos,,7878,7878
Mórfou,35.1978,32.9927,Cyprus,CY,Lefkosía,,7465,7465
Livádia,34.9551,33.6273,Cyprus,CY,Lárnaka,,7177,7177
Tséri,35.0725,33.3243,Cyprus,CY,Lefkosía,,7035,7035
Derýneia,35.0630,33.9585,Cyprus,CY,Ammóchostos,,5844,5844
Athíenou,35.0618,33.5417,Cyprus,CY,Lárnaka,,4996,4996
Lýsi,35.1041,33.6815,Cyprus,CY,Ammóchostos,,4537,4537
Pégeia,34.8838,32.3819,Cyprus,CY,Páfos,,3953,3953
Lápithos,35.3441,33.1675,Cyprus,CY,Kerýneia,,3496,3496
Agía Nápa,34.9899,34.0006,Cyprus,CY,Ammóchostos,,3212,3212
Kythréa,35.2451,33.4825,Cyprus,CY,Lefkosía,,2818,2818
