Madrid,40.4167,-3.7167,Spain,ES,Madrid,primary,6026000,3266126
Barcelona,41.3825,2.1769,Spain,ES,Catalonia,admin,4588000,1620343
Sevilla,37.3900,-5.9900,Spain,ES,Andalusia,admin,1107000,1107000
Málaga,36.7194,-4.4200,Spain,ES,Andalusia,minor,967250,578460
Valencia,39.4700,-0.3764,Spain,ES,Valencia,admin,800215,800215
Zaragoza,41.6483,-0.8830,Spain,ES,Aragon,admin,649404,448507
Palma,39.5667,2.6500,Spain,ES,Balearic Islands,admin,550000,422587
Murcia,37.9861,-1.1303,Spain,ES,Murcia,admin,502000,459403
Las Palmas,28.1272,-15.4314,Spain,ES,Canary Islands,admin,381223,381223
A Coruña,43.3713,-8.4188,Spain,ES,Galicia,minor,370610,242619
Bilbao,43.2569,-2.9236,Spain,ES,Basque Country,minor,350184,350184
Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,337482,337482
Córdoba,37.8845,-4.7796,Spain,ES,Andalusia,minor,321376,279648
Valladolid,41.6528,-4.7236,Spain,ES,Castille-Leon,admin,299265,299265
Vigo,42.2314,-8.7124,Spain,ES,Galicia,,296692,296692
Gijón,43.5333,-5.7000,Spain,ES,Asturias,,271780,271717
Vitoria-Gasteiz,42.8500,-2.6833,Spain,ES,Basque Country,admin,253996,253996
Elche,38.2669,-0.6983,Spain,ES,Valencia,,234765,234765
Granada,37.1781,-3.6008,Spain,ES,Andalusia,minor,233648,233648
Tarrasa,41.5611,2.0081,Spain,ES,Catalonia,,223627,223627
Badalona,41.4333,2.2333,Spain,ES,Catalonia,,223166,223166
Oviedo,43.3600,-5.8450,Spain,ES,Asturias,admin,219910,219910
Petrel,38.4789,-0.7967,Spain,ES,Valencia,,218843,34241
Sabadell,41.5483,2.1075,Spain,ES,Catalonia,,216520,216520
Cartagena,37.6000,-0.9819,Spain,ES,Murcia,,216108,216108
Jerez de la Frontera,36.6817,-6.1378,Spain,ES,Andalusia,,213105,213105
Santa Cruz,28.4667,-16.2500,Spain,ES,Canary Islands,admin,209194,209194
Pamplona,42.8167,-1.6500,Spain,ES,Navarre,admin,203944,203944
León,42.6056,-5.5700,Spain,ES,Castille-Leon,minor,202793,124028
Almería,36.8403,-2.4681,Spain,ES,Andalusia,minor,201322,201322
Logroño,42.4650,-2.4456,Spain,ES,La Rioja,admin,197000,152485
Fuenlabrada,40.2833,-3.8000,Spain,ES,Madrid,,194514,194514
Leganés,40.3281,-3.7644,Spain,ES,Madrid,,191114,191114
Donostia,43.3200,-1.9800,Spain,ES,Basque Country,minor,188240,188240
Mataró,41.5421,2.4445,Spain,ES,Catalonia,,183293,116359
Albacete,38.9956,-1.8558,Spain,ES,Castille-La Mancha,minor,174336,174336
Castellón de la Plana,39.9831,-0.0331,Spain,ES,Valencia,minor,174264,174264
Santander,43.4628,-3.8050,Spain,ES,Cantabria,admin,173375,173375
Getafe,40.3047,-3.7311,Spain,ES,Madrid,,173057,173057
Alcorcón,40.3500,-3.8333,Spain,ES,Madrid,,172384,172384
Burgos,42.3500,-3.6822,Spain,ES,Castille-Leon,minor,170183,130319
Guadalajara,40.6337,-3.1674,Spain,ES,Castille-La Mancha,minor,161683,85871
La Laguna,28.4853,-16.3167,Spain,ES,Canary Islands,,158911,158911
Badajoz,38.8803,-6.9753,Spain,ES,Extremadura,minor,150984,150984
Marbella,36.5167,-4.8833,Spain,ES,Andalusia,,147633,147633
Salamanca,40.9667,-5.6639,Spain,ES,Castille-Leon,minor,144825,144825
Huelva,37.2500,-6.9500,Spain,ES,Andalusia,minor,144174,95290
Ciudad de Melilla,35.2937,-2.9383,Spain,ES,Melilla,,141308,73460
Tarragona,41.1187,1.2453,Spain,ES,Catalonia,minor,136496,136496
Dos Hermanas,37.2836,-5.9222,Spain,ES,Andalusia,,135050,135050
