Tashkent,41.3000,69.2667,Uzbekistan,UZ,Toshkent,primary,2424100,2424100
Samarkand,39.6542,66.9597,Uzbekistan,UZ,Samarqand,admin,504423,504423
Andijon,40.7000,72.3500,Uzbekistan,UZ,Andijon,admin,441700,441700
Namangan,40.9953,71.6725,Uzbekistan,UZ,Namangan,admin,408500,408500
Qoqon,40.5404,70.9400,Uzbekistan,UZ,Farg‘ona,,350000,192500
Farg‘ona,40.3864,71.7864,Uzbekistan,UZ,Farg‘ona,admin,340600,340600
Bukhara,39.7747,64.4286,Uzbekistan,UZ,Buxoro,admin,272500,272500
Qarshi,38.8667,65.8000,Uzbekistan,UZ,Qashqadaryo,admin,254600,254600
Denov,38.2772,67.8872,Uzbekistan,UZ,Surxondaryo,,217274,68994
Nukus,42.4647,59.6022,Uzbekistan,UZ,Qoraqalpog‘iston,admin,170362,170362
Jizzax,40.1167,67.8500,Uzbekistan,UZ,Jizzax,admin,163200,163200
Termiz,37.2242,67.2783,Uzbekistan,UZ,Surxondaryo,admin,136200,136200
Urganch,41.5345,60.6249,Uzbekistan,UZ,Xorazm,admin,135100,135100
Navoiy,40.0833,65.3833,Uzbekistan,UZ,Navoiy,admin,134100,134100
Kogon Shahri,39.7211,64.5458,Uzbekistan,UZ,Buxoro,minor,107566,62620
Urgut Shahri,39.4007,67.2607,Uzbekistan,UZ,Samarqand,minor,99675,47373
Qo‘ng‘irot Shahri,43.0758,58.9067,Uzbekistan,UZ,Qoraqalpog‘iston,minor,70100,70100
Xo‘jayli Shahri,42.4047,59.4517,Uzbekistan,UZ,Qoraqalpog‘iston,minor,60401,50000
Kattaqo’rg’on Shahri,39.8958,66.2656,Uzbekistan,UZ,Samarqand,minor,58950,58950
Guliston,40.4833,68.7833,Uzbekistan,UZ,Sirdaryo,admin,55600,55600
Xiva,41.3783,60.3639,Uzbekistan,UZ,Xorazm,minor,55568,55568
Chimboy Shahri,42.9311,59.7708,Uzbekistan,UZ,Qoraqalpog‘iston,minor,36917,31638
Chortoq,41.0689,71.8153,Uzbekistan,UZ,Namangan,minor,35615,35615
Payshamba Shahri,40.0078,66.2372,Uzbekistan,UZ,Samarqand,minor,32568,32568
Kosonsoy,41.2492,71.5458,Uzbekistan,UZ,Namangan,minor,31217,31217
G’ijduvon Shahri,40.1000,64.6667,Uzbekistan,UZ,Buxoro,minor,30486,30486
Uchquduq Shahri,42.1567,63.5556,Uzbekistan,UZ,Navoiy,minor,24200,24200
Rishton,40.3567,71.2847,Uzbekistan,UZ,Farg‘ona,minor,23706,23706
Yaypan,40.3758,70.8156,Uzbekistan,UZ,Farg‘ona,minor,15984,15984
Juma Shahri,39.7094,66.6614,Uzbekistan,UZ,Samarqand,minor,15571,15571
Vobkent Shahri,40.0233,64.5139,Uzbekistan,UZ,Buxoro,minor,12351,12351
Yangirabot,40.0333,65.9667,Uzbekistan,UZ,Navoiy,minor,11364,11364
Qo‘rg‘ontepa,40.7319,72.7618,Uzbekistan,UZ,Andijon,minor,,
Oqoltin,40.7465,71.7003,Uzbekistan,UZ,Andijon,minor,,
Buloqboshi,40.6291,72.5021,Uzbekistan,UZ,Andijon,minor,,
Oxunboboyev,40.7198,72.6428,Uzbekistan,UZ,Andijon,minor,,
