Sarajevo,43.8667,18.4167,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",primary,275524,275524
Banja Luka,44.7667,17.1833,Bosnia And Herzegovina,BA,"Srpska, Republika",admin,199191,199191
Mostar,43.3494,17.8125,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,163067,104518
Bijeljina,44.7500,19.2167,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,114663,114663
Tuzla,44.5381,18.6761,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,110979,110979
Prijedor,44.9667,16.7000,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,89397,89397
Zenica,44.2039,17.9078,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,70553,70553
Doboj,44.7333,18.1333,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,68514,68514
Zvornik,44.3833,19.1000,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,63686,63686
Sanski Most,44.7667,16.6667,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,47359,47359
Lukavac,44.5333,18.5333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,46731,46731
Bihać,44.8167,15.8667,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,43007,43007
Bugojno,44.0572,17.4508,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,34559,34559
Žepče,44.4333,18.0333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,31582,31582
Trebinje,42.7089,18.3217,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,31433,31433
Bosanska Krupa,44.8833,16.1500,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,29659,29659
Čapljina,43.1100,17.7000,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,28122,28122
Breza,44.0210,18.2610,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,14564,14564
Derventa,44.9800,17.9100,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,12680,12680
Goražde,43.6667,18.9778,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,12512,12512
Foča,43.5000,18.7833,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,12334,12334
Sapna,44.4917,19.0028,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,12136,12136
Jablanica,43.6583,17.7583,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,10580,10580
Vareš,44.1644,18.3283,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,9556,9556
Livno,43.8269,17.0081,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,9045,9045
Bosanski Petrovac,44.5500,16.3667,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,7946,7946
Mrkonjić Grad,44.4167,17.0833,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,7915,7915
Drvar,44.3739,16.3808,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,7506,7506
Velika Kladuša,45.1667,15.8000,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,6902,6902
Višegrad,43.7833,19.2833,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,5869,5869
Tomislavgrad,43.7135,17.2266,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,5760,5760
Grude,43.3776,17.3953,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,4404,4404
Neum,42.9261,17.6167,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,3236,3236
Teočak,44.6083,19.0167,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,2817,2817
Petrovo,44.6333,18.3667,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,2322,2322
Brčko,44.8783,18.8092,Bosnia And Herzegovina,BA,Brcko District,admin,,
Ilidža,43.8331,18.3039,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Vogošća,43.9000,18.3500,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Lukavica,43.8208,18.3803,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Tešanj,44.6119,17.9855,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Omanjska,44.6983,17.9576,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Matuzići,44.6878,18.0489,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Klokotnica,44.7329,18.1888,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Gračanica,44.7031,18.3101,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Živinice,44.4493,18.6498,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
