Tirana,41.3300,19.8200,Albania,AL,Tiranë,primary,418495,418495
Durrës,41.3167,19.4500,Albania,AL,Durrës,admin,142432,122034
Vlorë,40.4500,19.4833,Albania,AL,Vlorë,admin,130827,130827
Kamëz,41.3833,19.7667,Albania,AL,Tiranë,,126777,126777
Fier,40.7167,19.5500,Albania,AL,Fier,admin,120655,120655
Shkodër,42.0667,19.5000,Albania,AL,Shkodër,admin,112276,112276
Elbasan,41.1125,20.0822,Albania,AL,Elbasan,admin,78703,78703
Korçë,40.6167,20.7667,Albania,AL,Korçë,admin,51152,51152
Sarandë,39.8833,20.0167,Albania,AL,Vlorë,,41000,41000
Berat,40.7049,19.9497,Albania,AL,Berat,admin,36496,36496
Lushnjë,40.9333,19.7000,Albania,AL,Fier,,31105,31105
Kavajë,41.1833,19.5500,Albania,AL,Tiranë,,29354,29354
Gjirokastër,40.0758,20.1389,Albania,AL,Gjirokastër,admin,25301,25301
Pogradec,40.9000,20.6500,Albania,AL,Korçë,,20848,20848
Fushë-Krujë,41.4833,19.7167,Albania,AL,Durrës,,18477,18477
Laç,41.6353,19.7131,Albania,AL,Lezhë,,17086,17086
Kukës,42.0758,20.4231,Albania,AL,Kukës,admin,16719,16719
Sukth,41.3833,19.5333,Albania,AL,Durrës,,15966,15966
Lezhë,41.7805,19.6434,Albania,AL,Lezhë,admin,15510,15510
Patos,40.6841,19.6194,Albania,AL,Fier,,15397,15397
Peshkopi,41.6831,20.4289,Albania,AL,Dibër,admin,13251,13251
Librazhd-Qendër,41.1969,20.3356,Albania,AL,Elbasan,,12691,12691
Kuçovë,40.8039,19.9144,Albania,AL,Berat,,12654,12654
Krujë,41.5178,19.7978,Albania,AL,Durrës,,11721,11721
Vorë,41.3939,19.6544,Albania,AL,Tiranë,,10901,10901
Burrel,41.6000,20.0000,Albania,AL,Dibër,,10862,10862
Libonik,40.7500,20.7167,Albania,AL,Korçë,,8922,8922
Rrëshen,41.7667,19.8833,Albania,AL,Lezhë,,8803,8803
Belsh,40.9833,19.8833,Albania,AL,Elbasan,,8781,8781
Divjakë,40.9964,19.5327,Albania,AL,Fier,,8445,8445
Gramsh,40.8667,20.1833,Albania,AL,Elbasan,,8440,8440
Mamurras,41.5775,19.6922,Albania,AL,Lezhë,,8282,8282
Bulqizë,41.5000,20.2167,Albania,AL,Dibër,,8177,8177
Vau i Dejës,42.0000,19.6333,Albania,AL,Shkodër,,8117,8117
Shëngjin,41.8136,19.5939,Albania,AL,Lezhë,,8091,8091
Ballsh,40.5991,19.7359,Albania,AL,Fier,,7657,7657
Shijak,41.3456,19.5672,Albania,AL,Durrës,,7568,7568
Bilisht,40.6275,20.9900,Albania,AL,Korçë,,7114,7114
Rrogozhinë,41.0761,19.6667,Albania,AL,Tiranë,,7049,7049
Librazhd,41.1833,20.3167,Albania,AL,Elbasan,,6937,6937
Cërrik,41.0333,19.9833,Albania,AL,Elbasan,,6695,6695
Roskovec,40.7375,19.7022,Albania,AL,Fier,,6657,6657
Peqin,41.0500,19.7500,Albania,AL,Elbasan,,6353,6353
Krumë,42.1961,20.4146,Albania,AL,Kukës,,6006,6006
Përmet,40.2333,20.3500,Albania,AL,Gjirokastër,,5945,5945
Prrenjas,41.0667,20.5500,Albania,AL,Elbasan,,5847,5847
Delvinë,39.9494,20.0958,Albania,AL,Vlorë,,5754,5754
Bajram Curri,42.3582,20.0760,Albania,AL,Kukës,,5340,5340
Ura Vajgurore,40.7689,19.8778,Albania,AL,Berat,,4893,4893
Rubik,41.7667,19.7833,Albania,AL,Lezhë,,4454,4454
Tepelenë,40.3000,20.0167,Albania,AL,Gjirokastër,,4342,4342
Poliçan,40.6122,20.0981,Albania,AL,Berat,,4318,4318
Maliq,40.7083,20.7000,Albania,AL,Korçë,,4290,4290
Çorovodë,40.5042,20.2272,Albania,AL,Berat,,4051,4051
Ersekë,40.3333,20.6833,Albania,AL,Korçë,,3746,3746
Koplik,42.2136,19.4364,Albania,AL,Shkodër,,3734,3734
Pukë,42.0500,19.9000,Albania,AL,Shkodër,,3607,3607
Lazarat,40.0500,20.1500,Albania,AL,Gjirokastër,,3160,3160
Memaliaj,40.3500,19.9833,Albania,AL,Gjirokastër,,2646,2646
