Kinshasa,-4.3233,15.3081,Congo (Kinshasa),CD,Kinshasa,primary,13528000,11462000
Kananga,-5.8970,22.4488,Congo (Kinshasa),CD,Kasaï Central,admin,1971704,1971704
Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),CD,Haut-Katanga,admin,1786397,1786397
Mbuji-Mayi,-6.1209,23.5967,Congo (Kinshasa),CD,Kasaï Oriental,admin,1295000,874761
Kisangani,0.5153,25.1911,Congo (Kinshasa),CD,Tshopo,admin,935977,935977
Kikwit,-5.0333,18.8167,Congo (Kinshasa),CD,Kwilu,admin,637736,294210
Bukavu,-2.5000,28.8667,Congo (Kinshasa),CD,Sud-Kivu,admin,436779,225389
Likasi,-10.9833,26.7333,Congo (Kinshasa),CD,Haut-Katanga,,422535,422535
Kolwezi,-10.7167,25.4667,Congo (Kinshasa),CD,Lualaba,admin,418000,418000
Beni,0.5000,29.4667,Congo (Kinshasa),CD,Nord-Kivu,,332903,89648
Matadi,-5.8167,13.4833,Congo (Kinshasa),CD,Kongo Central,admin,306053,306053
Mbandaka,0.0486,18.2603,Congo (Kinshasa),CD,Équateur,admin,274996,184185
Tshikapa,-6.4167,20.8000,Congo (Kinshasa),CD,Kasaï,,267462,135051
Kindu,-2.9500,25.9167,Congo (Kinshasa),CD,Maniema,admin,262914,135698
Goma,-1.6794,29.2336,Congo (Kinshasa),CD,Nord-Kivu,admin,249862,249862
Butembo,0.1251,29.2990,Congo (Kinshasa),CD,Nord-Kivu,,217625,217625
Kalemie,-5.9147,29.1939,Congo (Kinshasa),CD,Tanganyika,admin,206257,146974
Gemena,3.2500,19.7667,Congo (Kinshasa),CD,Sud-Ubangi,admin,198056,117639
Mbanza-Ngungu,-5.2496,14.8600,Congo (Kinshasa),CD,Kongo Central,,197545,86356
Mwene-Ditu,-7.0000,23.4500,Congo (Kinshasa),CD,Lomami,,189177,117480
Boma,-5.8500,13.0500,Congo (Kinshasa),CD,Kongo Central,,178638,178638
Uvira,-3.4044,29.1379,Congo (Kinshasa),CD,Sud-Kivu,,170391,158315
Isiro,2.7833,27.6167,Congo (Kinshasa),CD,Haut-Uélé,admin,157196,127076
Gandajika,-6.7500,23.9667,Congo (Kinshasa),CD,Lomami,,154425,57114
Moanda,-5.9229,12.3550,Congo (Kinshasa),CD,Kongo Central,,153915,153915
Wamba,2.1404,27.9900,Congo (Kinshasa),CD,Haut-Uélé,,146871,17373
Kamina,-8.7351,24.9980,Congo (Kinshasa),CD,Haut-Lomami,admin,128803,73557
Bandundu,-3.3100,17.3800,Congo (Kinshasa),CD,Kwilu,,118211,97784
Kipushi,-11.7600,27.2500,Congo (Kinshasa),CD,Haut-Katanga,,113347,62332
Ilebo,-4.3311,20.5864,Congo (Kinshasa),CD,Kasaï,,107093,35158
Kongolo,-5.3795,26.9800,Congo (Kinshasa),CD,Tanganyika,,105202,31943
Bumba,2.1900,22.4600,Congo (Kinshasa),CD,Mongala,,103328,103328
Bunia,1.5604,30.2400,Congo (Kinshasa),CD,Ituri,admin,96764,26310
Lisala,2.1400,21.5100,Congo (Kinshasa),CD,Mongala,admin,79235,79235
Lodja,-3.4900,23.4200,Congo (Kinshasa),CD,Sankuru,,68244,68244
Binga,2.3834,20.4200,Congo (Kinshasa),CD,Mongala,,64639,64639
Kasongo,-4.4500,26.6600,Congo (Kinshasa),CD,Maniema,,63000,55118
Idiofa,-4.9596,19.5986,Congo (Kinshasa),CD,Kwilu,,61056,61056
Kabinda,-6.1296,24.4800,Congo (Kinshasa),CD,Lomami,admin,59004,15728
Aketi,2.7405,23.7800,Congo (Kinshasa),CD,Bas-Uélé,,58601,35161
Basankusu,1.2222,19.8028,Congo (Kinshasa),CD,Équateur,,52216,52216
Mweka,-4.8519,21.5594,Congo (Kinshasa),CD,Kasaï,,50675,39769
Gbadolite,4.2750,21.0000,Congo (Kinshasa),CD,Nord-Ubangi,admin,50493,19901
Kahemba,-7.2829,19.0000,Congo (Kinshasa),CD,Kwango,,50000,41289
Bulungu,-4.5496,18.6000,Congo (Kinshasa),CD,Kwilu,,48344,36277
