Bamako,12.6458,-7.9922,Mali,ML,Bamako,primary,2009109,2009109
Sikasso,11.3167,-5.6667,Mali,ML,Sikasso,admin,213977,213977
Ségou,13.4500,-6.2667,Mali,ML,Ségou,admin,133501,133501
Mopti,14.4900,-4.1800,Mali,ML,Mopti,admin,108456,78083
Koutiala,12.3833,-5.4667,Mali,ML,Sikasso,minor,104927,99353
Kayes,14.4500,-11.4167,Mali,ML,Kayes,admin,77207,77207
Kati,12.7504,-8.0800,Mali,ML,Koulikoro,minor,66895,42922
Markala,13.7021,-6.0659,Mali,ML,Ségou,,53738,38585
Gao,16.2667,-0.0500,Mali,ML,Gao,admin,49483,49483
Kita,13.0504,-9.4833,Mali,ML,Kayes,minor,46435,5769
San,13.3004,-4.9000,Mali,ML,Ségou,minor,41386,24811
Bougouni,11.4167,-7.4833,Mali,ML,Sikasso,minor,35450,25644
Timbuktu,16.7733,-2.9994,Mali,ML,Tombouctou,admin,35330,35330
Djenné,13.9000,-4.5500,Mali,ML,Mopti,minor,32944,22382
Banamba,13.5500,-7.4500,Mali,ML,Koulikoro,minor,30591,6033
Bafoulabé,13.8064,-10.8322,Mali,ML,Kayes,minor,26823,26823
Koulikoro,12.8833,-7.5500,Mali,ML,Koulikoro,admin,23919,2898
Ménaka,15.9183,2.4022,Mali,ML,Gao,minor,20702,20702
Nara,15.1800,-7.2800,Mali,ML,Koulikoro,minor,18459,18459
Kangaba,11.9333,-8.4167,Mali,ML,Koulikoro,minor,17232,17232
Kidal,18.4333,1.4000,Mali,ML,Kidal,admin,15086,15086
Nioro,15.1833,-9.5500,Mali,ML,Kayes,minor,14421,14421
Goundam,16.4167,-3.6667,Mali,ML,Tombouctou,minor,8456,3979
Tessalit,20.2011,1.0125,Mali,ML,Kidal,minor,6000,5739
Abeïbara,19.1167,1.7500,Mali,ML,Kidal,minor,4585,4585
Yélimané,15.1337,-10.5666,Mali,ML,Kayes,minor,988,988
Bandiagara,14.3500,-3.6111,Mali,ML,Mopti,minor,,
Ténenkou,14.4572,-4.9169,Mali,ML,Mopti,minor,,
Douentza,14.9950,-2.9667,Mali,ML,Mopti,minor,,
Niono,14.2500,-6.0000,Mali,ML,Ségou,minor,,
Bla,12.9500,-5.7603,Mali,ML,Ségou,minor,,
Diré,16.2667,-3.4000,Mali,ML,Tombouctou,minor,,
Bankass,14.0775,-3.5158,Mali,ML,Mopti,minor,,
Kadiolo,10.5500,-5.7667,Mali,ML,Sikasso,minor,,
Ansongo,15.6650,0.5028,Mali,ML,Gao,minor,,
Dioila,12.4822,-6.7911,Mali,ML,Koulikoro,minor,,
Barouéli,13.0769,-6.8311,Mali,ML,Ségou,minor,,
Yorosso,12.3556,-4.7778,Mali,ML,Sikasso,minor,,
Tominian,13.2875,-4.5933,Mali,ML,Ségou,minor,,
Koro,14.0639,-3.0753,Mali,ML,Mopti,minor,,
Kolokani,13.5728,-8.0339,Mali,ML,Koulikoro,minor,,
Ké-Macina,13.9641,-5.3579,Mali,ML,Ségou,minor,,
Yanfolila,11.1833,-8.1500,Mali,ML,Sikasso,minor,,
Kolondiéba,11.0883,-6.8925,Mali,ML,Sikasso,minor,,
Kéniéba,12.8396,-11.2406,Mali,ML,Kayes,minor,,
Youwarou,15.3683,-4.2628,Mali,ML,Mopti,minor,,
Niafunké,15.9311,-3.9900,Mali,ML,Tombouctou,minor,,
Diéma,14.5333,-9.2000,Mali,ML,Kayes,minor,,
Gourma Rharous,16.8800,-1.9239,Mali,ML,Tombouctou,minor,,
Bourem,16.9542,-0.3503,Mali,ML,Gao,minor,,
Ti-n-Essako,18.4506,2.4879,Mali,ML,Kidal,minor,,
