Khartoum,15.6031,32.5265,Sudan,SD,Khartoum,primary,7282000,639598
Omdurman,15.6835,32.4629,Sudan,SD,Khartoum,,2805396,2805396
Khartoum North,15.6333,32.6333,Sudan,SD,Khartoum,,936349,936349
Kassala,15.4500,36.4000,Sudan,SD,Kassala,admin,536009,536009
Port Sudan,19.6158,37.2164,Sudan,SD,Red Sea,admin,489275,489275
El Obeid,13.1833,30.2167,Sudan,SD,North Kordofan,admin,418280,418280
Gedaref,14.0333,35.3833,Sudan,SD,Al Gedaref,admin,354927,354927
Kūstī,13.1700,32.6600,Sudan,SD,White Nile,,345068,203858
Wad Medani,14.4000,33.5100,Sudan,SD,Al Gazira,admin,332714,284367
El Fasher,13.6300,25.3500,Sudan,SD,North Darfur,admin,252609,189203
Kurmuk,10.5563,34.2848,Sudan,SD,Blue Nile,,250000,250000
Nyala,12.0500,24.8833,Sudan,SD,South Darfur,admin,227183,227183
Shendi,16.6805,33.4200,Sudan,SD,River Nile,,186611,53568
Ed Damazin,11.7704,34.3500,Sudan,SD,Blue Nile,admin,186051,42009
Kadugli,11.0100,29.7000,Sudan,SD,South Kordofan,admin,176931,87666
El Geneina,13.4500,22.4400,Sudan,SD,West Darfur,admin,162981,159310
Al Manāqil,14.2504,32.9800,Sudan,SD,Al Gazira,,151827,128297
Atbara,17.7167,33.9833,Sudan,SD,River Nile,,139768,139768
Sannār,13.5500,33.6000,Sudan,SD,Sennar,,130122,76494
An Nuhūd,12.6904,28.4200,Sudan,SD,Western Kordofan,,108008,61239
EdDamer,17.5900,33.9600,Sudan,SD,River Nile,admin,103941,84856
Ad Diwem,13.9904,32.3000,Sudan,SD,White Nile,,87068,22583
Tokār,18.4333,37.7333,Sudan,SD,Red Sea,,73202,22250
Umm Ruwaba,12.9058,31.2156,Sudan,SD,North Kordofan,,55742,16257
Abū Ḩamad,19.5370,33.3260,Sudan,SD,River Nile,,50000,50000
Berber,18.0170,33.9833,Sudan,SD,River Nile,,49556,22395
Sawākin,19.1000,37.3333,Sudan,SD,Red Sea,,43337,43337
Dongola,19.1666,30.4833,Sudan,SD,Northern,admin,26404,26404
Rabak,13.1880,32.7437,Sudan,SD,White Nile,admin,,
Singa,13.1483,33.9311,Sudan,SD,Sennar,admin,,
Ed Daein,11.4672,26.1317,Sudan,SD,East Darfur,admin,,
Zalingei,12.9092,23.4706,Sudan,SD,Central Darfur,admin,,
El Fula,11.7120,28.3462,Sudan,SD,Western Kordofan,admin,,
